example_id,movie_name,conversation_id,utterance_id,speaker_name,listener_name,context_6_turns,current_text,final_power_dynamic,final_respect_level,judge1_power_dynamic,judge2_power_dynamic,judge1_respect_level,judge2_respect_level
amadeus__conv_L30663__utt_L30667,amadeus,L30663,L30667,CONSTANZE,MOZART,"1. CONSTANZE: May I offer you some tea, Herr Mozart?
2. MOZART to CONSTANZE: Tea? Who wants tea? Let's go out! This calls for a feast. You don't want tea, Papa. Let's go dancing. Papa loves parties, don't you?
3. CONSTANZE to MOZART: Wolfi!
4. MOZART to CONSTANZE: What? How can you be so boring? Tea!","Wolfi, I think your father's tired. I'll cook us something here.",,,roughly_equal_power,roughly_equal_power,high_respect,neutral_respect
amadeus__conv_L30668__utt_L30668,amadeus,L30668,L30668,LEOPOLD,,,Thank you. That'll be fine. Don't spend any money on me.,,,unclear,unclear,high_respect,high_respect
amadeus__conv_L30668__utt_L30669,amadeus,L30668,L30669,MOZART,LEOPOLD,1. LEOPOLD: Thank you. That'll be fine. Don't spend any money on me.,"Why not? Oh, come, Papa! What better way could I spend it than on you? My kissable, missable, suddenly visible Papa!",,,roughly_equal_power,listener_higher_power,high_respect,high_respect
amadeus__conv_L30672__utt_L30672,amadeus,L30672,L30672,LEOPOLD,,,"No, really!",,,unclear,unclear,neutral_respect,unclear
amadeus__conv_L30672__utt_L30673,amadeus,L30672,L30673,MOZART,LEOPOLD,"1. LEOPOLD: No, really!","This is just a game, Papa.",,,roughly_equal_power,listener_higher_power,neutral_respect,neutral_respect
amadeus__conv_L30678__utt_L30678,amadeus,L30678,L30678,MOZART,,,"Yes, Papa, name it. Name it. I'll do anything you say!",listener_higher_power,high_respect,listener_higher_power,listener_higher_power,high_respect,high_respect
amadeus__conv_L30678__utt_L30679,amadeus,L30678,L30679,LEOPOLD,MOZART,"1. MOZART: Yes, Papa, name it. Name it. I'll do anything you say!","I want you to come back with me to Salzburg, my son.",,,speaker_higher_power,speaker_higher_power,high_respect,neutral_respect
amadeus__conv_L30680__utt_L30680,amadeus,L30680,L30680,SCHIKANEDER,,,What did he say? What did he say?,,,unclear,unclear,neutral_respect,neutral_respect
amadeus__conv_L30680__utt_L30681,amadeus,L30680,L30681,MOZART,SCHIKANEDER,1. SCHIKANEDER: What did he say? What did he say?,"Papa, the rule is you can only give penalties that can be performed in the room.",roughly_equal_power,neutral_respect,roughly_equal_power,roughly_equal_power,neutral_respect,neutral_respect
amadeus__conv_L30682__utt_L30682,amadeus,L30682,L30682,LEOPOLD,,,I'm tired of this game. Please play without me.,,,unclear,unclear,high_respect,neutral_respect
amadeus__conv_L30682__utt_L30683,amadeus,L30682,L30683,MOZART,LEOPOLD,1. LEOPOLD: I'm tired of this game. Please play without me.,But my penalty. I've got to have a penalty.,,,roughly_equal_power,listener_higher_power,neutral_respect,neutral_respect
amadeus__conv_L30697__utt_L30697,amadeus,L30697,L30697,CONSTANZE,,,There's a young girl to see you.,,,unclear,roughly_equal_power,neutral_respect,neutral_respect
amadeus__conv_L30697__utt_L30698,amadeus,L30697,L30698,MOZART,CONSTANZE,1. CONSTANZE: There's a young girl to see you.,What does she want?,roughly_equal_power,neutral_respect,roughly_equal_power,roughly_equal_power,neutral_respect,neutral_respect
amadeus__conv_L30697__utt_L30699,amadeus,L30697,L30699,CONSTANZE,MOZART,"1. CONSTANZE: There's a young girl to see you.
2. MOZART to CONSTANZE: What does she want?",I don't know.,roughly_equal_power,neutral_respect,roughly_equal_power,roughly_equal_power,neutral_respect,neutral_respect
amadeus__conv_L30697__utt_L30700,amadeus,L30697,L30700,MOZART,CONSTANZE,"1. CONSTANZE: There's a young girl to see you.
2. MOZART to CONSTANZE: What does she want?
3. CONSTANZE to MOZART: I don't know.","Well, ask her!",speaker_higher_power,low_respect,speaker_higher_power,speaker_higher_power,low_respect,low_respect
amadeus__conv_L30697__utt_L30701,amadeus,L30697,L30701,CONSTANZE,MOZART,"1. CONSTANZE: There's a young girl to see you.
2. MOZART to CONSTANZE: What does she want?
3. CONSTANZE to MOZART: I don't know.
4. MOZART to CONSTANZE: Well, ask her!",She won't talk to me. She says she has to speak to you.,,,roughly_equal_power,listener_higher_power,neutral_respect,neutral_respect
amadeus__conv_L30697__utt_L30702,amadeus,L30697,L30702,MOZART,CONSTANZE,"1. CONSTANZE: There's a young girl to see you.
2. MOZART to CONSTANZE: What does she want?
3. CONSTANZE to MOZART: I don't know.
4. MOZART to CONSTANZE: Well, ask her!
5. CONSTANZE to MOZART: She won't talk to me. She says she has to speak to you.","Oh, damn!",,,roughly_equal_power,speaker_higher_power,low_respect,neutral_respect
amadeus__conv_L30703__utt_L30703,amadeus,L30703,L30703,MOZART,,,Yes?,,,unclear,unclear,neutral_respect,unclear
amadeus__conv_L30703__utt_L30704,amadeus,L30703,L30704,LORL,MOZART,1. MOZART: Yes?,Are you Herr Mozart?,,,roughly_equal_power,unclear,high_respect,high_respect
amadeus__conv_L30703__utt_L30705,amadeus,L30703,L30705,MOZART,LORL,"1. MOZART: Yes?
2. LORL to MOZART: Are you Herr Mozart?",That's right.,roughly_equal_power,neutral_respect,roughly_equal_power,roughly_equal_power,neutral_respect,neutral_respect
amadeus__conv_L30703__utt_L30706,amadeus,L30703,L30706,LORL,MOZART,"1. MOZART: Yes?
2. LORL to MOZART: Are you Herr Mozart?
3. MOZART to LORL: That's right.","My name is Lorl, sir. I'm a maidservant. I was asked to come here and offer my services to you.",listener_higher_power,high_respect,listener_higher_power,listener_higher_power,high_respect,high_respect
amadeus__conv_L30703__utt_L30707,amadeus,L30703,L30707,MOZART,LORL,"1. MOZART: Yes?
2. LORL to MOZART: Are you Herr Mozart?
3. MOZART to LORL: That's right.
4. LORL to MOZART: My name is Lorl, sir. I'm a maidservant. I was asked to come here and offer my services to you.",What?,speaker_higher_power,neutral_respect,speaker_higher_power,speaker_higher_power,neutral_respect,neutral_respect
amadeus__conv_L30703__utt_L30708,amadeus,L30703,L30708,LORL,MOZART,"1. MOZART: Yes?
2. LORL to MOZART: Are you Herr Mozart?
3. MOZART to LORL: That's right.
4. LORL to MOZART: My name is Lorl, sir. I'm a maidservant. I was asked to come here and offer my services to you.
5. MOZART to LORL: What?",They'll be paid for by a great admirer or yours who wishes to remain anon - anonymous.,listener_higher_power,high_respect,listener_higher_power,listener_higher_power,high_respect,high_respect
amadeus__conv_L30711__utt_L30711,amadeus,L30711,L30711,MOZART,,,Are you saying that someone is paying you to be our maid and doesn't want us to know who he is?,,,roughly_equal_power,speaker_higher_power,neutral_respect,neutral_respect
amadeus__conv_L30711__utt_L30712,amadeus,L30711,L30712,LORL,MOZART,1. MOZART: Are you saying that someone is paying you to be our maid and doesn't want us to know who he is?,Yes. I can live in or out just as you wish.,listener_higher_power,high_respect,listener_higher_power,listener_higher_power,high_respect,high_respect
amadeus__conv_L30713__utt_L30713,amadeus,L30713,L30713,MOZART,,,"Papa, is this your idea?",,,roughly_equal_power,listener_higher_power,high_respect,neutral_respect
amadeus__conv_L30713__utt_L30714,amadeus,L30713,L30714,LEOPOLD,MOZART,"1. MOZART: Papa, is this your idea?",Mine?,,,roughly_equal_power,speaker_higher_power,neutral_respect,neutral_respect
amadeus__conv_L30715__utt_L30715,amadeus,L30715,L30715,MOZART,,,Are you playing a trick on me?,,,unclear,unclear,neutral_respect,neutral_respect
amadeus__conv_L30715__utt_L30716,amadeus,L30715,L30716,LEOPOLD,MOZART,1. MOZART: Are you playing a trick on me?,I never saw this girl in my life.  Is this a kind of joke?,roughly_equal_power,neutral_respect,roughly_equal_power,roughly_equal_power,neutral_respect,neutral_respect
amadeus__conv_L30721__utt_L30721,amadeus,L30721,L30721,CONSTANZE,,,What is ridiculous? Wolfi has many admirers in Vienna. They love him here. People send us gifts all the time.,,,unclear,unclear,neutral_respect,neutral_respect
amadeus__conv_L30721__utt_L30722,amadeus,L30721,L30722,LEOPOLD,CONSTANZE,1. CONSTANZE: What is ridiculous? Wolfi has many admirers in Vienna. They love him here. People send us gifts all the time.,But you can't take her without reference. It's unheard of!,,,roughly_equal_power,speaker_higher_power,neutral_respect,neutral_respect
amadeus__conv_L30721__utt_L30723,amadeus,L30721,L30723,CONSTANZE,LEOPOLD,"1. CONSTANZE: What is ridiculous? Wolfi has many admirers in Vienna. They love him here. People send us gifts all the time.
2. LEOPOLD to CONSTANZE: But you can't take her without reference. It's unheard of!","Well, this is none of your business.  Whoever sent you is going to pay, no?",,,speaker_higher_power,roughly_equal_power,low_respect,low_respect
amadeus__conv_L30728__utt_L30728,amadeus,L30728,L30728,CONSTANZE,,,"Look, old man, you stay out of this. We spend a fortune on you, more than we can possibly afford, and all you do is criticize, morning to night. And then you think you can -",speaker_higher_power,low_respect,speaker_higher_power,speaker_higher_power,low_respect,low_respect
amadeus__conv_L30728__utt_L30729,amadeus,L30728,L30729,MOZART,CONSTANZE,"1. CONSTANZE: Look, old man, you stay out of this. We spend a fortune on you, more than we can possibly afford, and all you do is criticize, morning to night. And then you think you can -",Stanzi!,,,roughly_equal_power,roughly_equal_power,high_respect,neutral_respect
amadeus__conv_L30728__utt_L30730,amadeus,L30728,L30730,CONSTANZE,MOZART,"1. CONSTANZE: Look, old man, you stay out of this. We spend a fortune on you, more than we can possibly afford, and all you do is criticize, morning to night. And then you think you can -
2. MOZART to CONSTANZE: Stanzi!","No, it's right he should hear. I'm sick to death of it. We can't do anything right for you, can we?",roughly_equal_power,low_respect,roughly_equal_power,roughly_equal_power,low_respect,low_respect
amadeus__conv_L30731__utt_L30731,amadeus,L30731,L30731,LEOPOLD,,,Never mind. You won't have to do anything for me ever again. I'm leaving!,,,roughly_equal_power,speaker_higher_power,low_respect,low_respect
amadeus__conv_L30731__utt_L30732,amadeus,L30731,L30732,MOZART,LEOPOLD,1. LEOPOLD: Never mind. You won't have to do anything for me ever again. I'm leaving!,Papa!,,,listener_higher_power,listener_higher_power,high_respect,neutral_respect
amadeus__conv_L30731__utt_L30733,amadeus,L30731,L30733,LEOPOLD,MOZART,"1. LEOPOLD: Never mind. You won't have to do anything for me ever again. I'm leaving!
2. MOZART to LEOPOLD: Papa!","Don't worry, I'm not staying here to be a burden.",,,roughly_equal_power,speaker_higher_power,high_respect,neutral_respect
amadeus__conv_L30731__utt_L30734,amadeus,L30731,L30734,MOZART,LEOPOLD,"1. LEOPOLD: Never mind. You won't have to do anything for me ever again. I'm leaving!
2. MOZART to LEOPOLD: Papa!
3. LEOPOLD to MOZART: Don't worry, I'm not staying here to be a burden.",No one calls you that.,,,roughly_equal_power,listener_higher_power,low_respect,neutral_respect
amadeus__conv_L30731__utt_L30735,amadeus,L30731,L30735,LEOPOLD,MOZART,"1. LEOPOLD: Never mind. You won't have to do anything for me ever again. I'm leaving!
2. MOZART to LEOPOLD: Papa!
3. LEOPOLD to MOZART: Don't worry, I'm not staying here to be a burden.
4. MOZART to LEOPOLD: No one calls you that.",She does. She says I sleep all day.,,,roughly_equal_power,speaker_higher_power,neutral_respect,neutral_respect
amadeus__conv_L30736__utt_L30736,amadeus,L30736,L30736,CONSTANZE,,,And so you do! The only time you come out is to eat.,roughly_equal_power,low_respect,roughly_equal_power,roughly_equal_power,low_respect,low_respect
amadeus__conv_L30736__utt_L30737,amadeus,L30736,L30737,LEOPOLD,CONSTANZE,1. CONSTANZE: And so you do! The only time you come out is to eat.,And what do you expect? Who wants to walk out into a mess like this every day?,,,roughly_equal_power,speaker_higher_power,low_respect,low_respect
amadeus__conv_L30736__utt_L30738,amadeus,L30736,L30738,CONSTANZE,LEOPOLD,"1. CONSTANZE: And so you do! The only time you come out is to eat.
2. LEOPOLD to CONSTANZE: And what do you expect? Who wants to walk out into a mess like this every day?","Oh, now I'm a bad housekeeper!",,,roughly_equal_power,listener_higher_power,low_respect,low_respect
amadeus__conv_L30736__utt_L30739,amadeus,L30736,L30739,LEOPOLD,CONSTANZE,"1. CONSTANZE: And so you do! The only time you come out is to eat.
2. LEOPOLD to CONSTANZE: And what do you expect? Who wants to walk out into a mess like this every day?
3. CONSTANZE to LEOPOLD: Oh, now I'm a bad housekeeper!",So you are! The place is a pigsty all the time.,,,roughly_equal_power,speaker_higher_power,low_respect,low_respect
amadeus__conv_L30736__utt_L30740,amadeus,L30736,L30740,CONSTANZE,LEOPOLD,"1. CONSTANZE: And so you do! The only time you come out is to eat.
2. LEOPOLD to CONSTANZE: And what do you expect? Who wants to walk out into a mess like this every day?
3. CONSTANZE to LEOPOLD: Oh, now I'm a bad housekeeper!
4. LEOPOLD to CONSTANZE: So you are! The place is a pigsty all the time.",Do you hear him? Do you?,,,roughly_equal_power,roughly_equal_power,neutral_respect,low_respect
amadeus__conv_L30747__utt_L30747,amadeus,L30747,L30747,LORL,,,"Oh, thank you, sir.",,,unclear,listener_higher_power,high_respect,high_respect
amadeus__conv_L30747__utt_L30748,amadeus,L30747,L30748,SALIERI,LORL,"1. LORL: Oh, thank you, sir.",Do any pupils come to the house?,speaker_higher_power,neutral_respect,speaker_higher_power,speaker_higher_power,neutral_respect,neutral_respect
amadeus__conv_L30747__utt_L30749,amadeus,L30747,L30749,LORL,SALIERI,"1. LORL: Oh, thank you, sir.
2. SALIERI to LORL: Do any pupils come to the house?",Not that I've seen.,,,roughly_equal_power,listener_higher_power,neutral_respect,neutral_respect
amadeus__conv_L30747__utt_L30750,amadeus,L30747,L30750,SALIERI,LORL,"1. LORL: Oh, thank you, sir.
2. SALIERI to LORL: Do any pupils come to the house?
3. LORL to SALIERI: Not that I've seen.",Then how does he pay for all this? Does he work at all?,,,roughly_equal_power,speaker_higher_power,neutral_respect,neutral_respect
amadeus__conv_L30747__utt_L30751,amadeus,L30747,L30751,LORL,SALIERI,"1. LORL: Oh, thank you, sir.
2. SALIERI to LORL: Do any pupils come to the house?
3. LORL to SALIERI: Not that I've seen.
4. SALIERI to LORL: Then how does he pay for all this? Does he work at all?","Oh, yes, sir, all day long. He never leaves the house until evening. He just sits there, writing and writing. He doesn't even eat.",listener_higher_power,high_respect,listener_higher_power,listener_higher_power,high_respect,high_respect
amadeus__conv_L30747__utt_L30752,amadeus,L30747,L30752,SALIERI,LORL,"1. LORL: Oh, thank you, sir.
2. SALIERI to LORL: Do any pupils come to the house?
3. LORL to SALIERI: Not that I've seen.
4. SALIERI to LORL: Then how does he pay for all this? Does he work at all?
5. LORL to SALIERI: Oh, yes, sir, all day long. He never leaves the house until evening. He just sits there, writing and writing. He doesn't even eat.",Really? What is it he's writing?,,,roughly_equal_power,speaker_higher_power,neutral_respect,neutral_respect
amadeus__conv_L30747__utt_L30753,amadeus,L30747,L30753,LORL,SALIERI,"1. LORL: Oh, thank you, sir.
2. SALIERI to LORL: Do any pupils come to the house?
3. LORL to SALIERI: Not that I've seen.
4. SALIERI to LORL: Then how does he pay for all this? Does he work at all?
5. LORL to SALIERI: Oh, yes, sir, all day long. He never leaves the house until evening. He just sits there, writing and writing. He doesn't even eat.
6. SALIERI to LORL: Really? What is it he's writing?","Oh, I wouldn't know that, sir.",listener_higher_power,high_respect,listener_higher_power,listener_higher_power,high_respect,high_respect
amadeus__conv_L30747__utt_L30754,amadeus,L30747,L30754,SALIERI,LORL,"1. SALIERI to LORL: Do any pupils come to the house?
2. LORL to SALIERI: Not that I've seen.
3. SALIERI to LORL: Then how does he pay for all this? Does he work at all?
4. LORL to SALIERI: Oh, yes, sir, all day long. He never leaves the house until evening. He just sits there, writing and writing. He doesn't even eat.
5. SALIERI to LORL: Really? What is it he's writing?
6. LORL to SALIERI: Oh, I wouldn't know that, sir.","Of course not. You're a good girl. You're very kind to do this. Next time you're sure they'll be out of the house, let me know, will you?",,,speaker_higher_power,speaker_higher_power,high_respect,neutral_respect
amadeus__conv_L30756__utt_L30756,amadeus,L30756,L30756,LORL,,,"I think I've found out about the money, sir.",listener_higher_power,high_respect,listener_higher_power,listener_higher_power,high_respect,high_respect
amadeus__conv_L30756__utt_L30757,amadeus,L30756,L30757,SALIERI,LORL,"1. LORL: I think I've found out about the money, sir.",Yes what?,speaker_higher_power,neutral_respect,speaker_higher_power,speaker_higher_power,neutral_respect,neutral_respect
amadeus__conv_L30759__utt_L30759,amadeus,L30759,L30759,SALIERI,,,Where does he work?,,,unclear,unclear,neutral_respect,neutral_respect
amadeus__conv_L30759__utt_L30760,amadeus,L30759,L30760,LORL,SALIERI,1. SALIERI: Where does he work?,"In there, sir.",listener_higher_power,high_respect,listener_higher_power,listener_higher_power,high_respect,high_respect
amadeus__conv_L30761__utt_L30761,amadeus,L30761,L30761,JOSEPH,,,"Bravo, Mozart. Most charming. Yes, indeed. Clever man.",,,roughly_equal_power,speaker_higher_power,low_respect,high_respect
amadeus__conv_L30761__utt_L30762,amadeus,L30761,L30762,MOZART,JOSEPH,"1. JOSEPH: Bravo, Mozart. Most charming. Yes, indeed. Clever man.","Thank you, Sire!",listener_higher_power,high_respect,listener_higher_power,listener_higher_power,high_respect,high_respect
amadeus__conv_L30763__utt_L30763,amadeus,L30763,L30763,VON SWIETEN,,,"Well done, Mozart. Really quite fine.",,,roughly_equal_power,speaker_higher_power,high_respect,high_respect
amadeus__conv_L30763__utt_L30764,amadeus,L30763,L30764,MOZART,VON SWIETEN,"1. VON SWIETEN: Well done, Mozart. Really quite fine.",Baron!,listener_higher_power,high_respect,listener_higher_power,listener_higher_power,high_respect,high_respect
amadeus__conv_L30765__utt_L30765,amadeus,L30765,L30765,MOZART,,,"Majesty, may I ask you to do me the greatest favour?",listener_higher_power,high_respect,listener_higher_power,listener_higher_power,high_respect,high_respect
amadeus__conv_L30765__utt_L30766,amadeus,L30765,L30766,JOSEPH,MOZART,"1. MOZART: Majesty, may I ask you to do me the greatest favour?",What is it?,,,listener_higher_power,speaker_higher_power,neutral_respect,neutral_respect
amadeus__conv_L30765__utt_L30767,amadeus,L30765,L30767,MOZART,JOSEPH,"1. MOZART: Majesty, may I ask you to do me the greatest favour?
2. JOSEPH to MOZART: What is it?",May I introduce my father? He is on a short visit here and returning very soon to Salzburg. He would so much like to kiss your hand. It would make his whole stay so memorable for him.,listener_higher_power,high_respect,listener_higher_power,listener_higher_power,high_respect,high_respect
amadeus__conv_L30765__utt_L30768,amadeus,L30765,L30768,JOSEPH,MOZART,"1. MOZART: Majesty, may I ask you to do me the greatest favour?
2. JOSEPH to MOZART: What is it?
3. MOZART to JOSEPH: May I introduce my father? He is on a short visit here and returning very soon to Salzburg. He would so much like to kiss your hand. It would make his whole stay so memorable for him.",Ah! By all means.,,,listener_higher_power,speaker_higher_power,high_respect,high_respect
amadeus__conv_L30774__utt_L30774,amadeus,L30774,L30774,MOZART,,,Father -,listener_higher_power,high_respect,listener_higher_power,listener_higher_power,high_respect,high_respect
amadeus__conv_L30774__utt_L30775,amadeus,L30774,L30775,LEOPOLD,MOZART,1. MOZART: Father -,"Hush! I'm talking to His Majesty. Your Majesty, I wish to express only one thing - that you who are the Father of us all, could teach our children the gratitude they owe to fathers. It is not for nothing that the Fifth Commandment tells us: 'Honour your Father and Mother, that your days may be long upon the earth.'",,,listener_higher_power,speaker_higher_power,high_respect,low_respect
amadeus__conv_L30777__utt_L30777,amadeus,L30777,L30777,SALIERI,,,"I've just learned something that might be of interest to you, Herr Director.",,,roughly_equal_power,listener_higher_power,high_respect,high_respect
amadeus__conv_L30777__utt_L30778,amadeus,L30777,L30778,ORSINI-ROSENBERG,SALIERI,"1. SALIERI: I've just learned something that might be of interest to you, Herr Director.",Yes?,,,roughly_equal_power,speaker_higher_power,neutral_respect,neutral_respect
amadeus__conv_L30777__utt_L30779,amadeus,L30777,L30779,SALIERI,ORSINI-ROSENBERG,"1. SALIERI: I've just learned something that might be of interest to you, Herr Director.
2. ORSINI-ROSENBERG to SALIERI: Yes?",Mozart is writing a new opera. An Italian opera.,,,roughly_equal_power,listener_higher_power,high_respect,neutral_respect
amadeus__conv_L30777__utt_L30780,amadeus,L30777,L30780,ORSINI-ROSENBERG,SALIERI,"1. SALIERI: I've just learned something that might be of interest to you, Herr Director.
2. ORSINI-ROSENBERG to SALIERI: Yes?
3. SALIERI to ORSINI-ROSENBERG: Mozart is writing a new opera. An Italian opera.",Italian?,,,roughly_equal_power,speaker_higher_power,neutral_respect,neutral_respect
amadeus__conv_L30783__utt_L30783,amadeus,L30783,L30783,ORSINI-ROSENBERG,,,You mean that play?,,,unclear,unclear,neutral_respect,neutral_respect
amadeus__conv_L30783__utt_L30784,amadeus,L30783,L30784,SALIERI,ORSINI-ROSENBERG,1. ORSINI-ROSENBERG: You mean that play?,Exactly.,roughly_equal_power,neutral_respect,roughly_equal_power,roughly_equal_power,neutral_respect,neutral_respect
amadeus__conv_L30783__utt_L30785,amadeus,L30783,L30785,ORSINI-ROSENBERG,SALIERI,"1. ORSINI-ROSENBERG: You mean that play?
2. SALIERI to ORSINI-ROSENBERG: Exactly.",He's setting that play to music?,roughly_equal_power,neutral_respect,roughly_equal_power,roughly_equal_power,neutral_respect,neutral_respect
amadeus__conv_L30783__utt_L30786,amadeus,L30783,L30786,SALIERI,ORSINI-ROSENBERG,"1. ORSINI-ROSENBERG: You mean that play?
2. SALIERI to ORSINI-ROSENBERG: Exactly.
3. ORSINI-ROSENBERG to SALIERI: He's setting that play to music?",Yes.,roughly_equal_power,neutral_respect,roughly_equal_power,roughly_equal_power,neutral_respect,neutral_respect
amadeus__conv_L30783__utt_L30787,amadeus,L30783,L30787,ORSINI-ROSENBERG,SALIERI,"1. ORSINI-ROSENBERG: You mean that play?
2. SALIERI to ORSINI-ROSENBERG: Exactly.
3. ORSINI-ROSENBERG to SALIERI: He's setting that play to music?
4. SALIERI to ORSINI-ROSENBERG: Yes.",You must be mad.,roughly_equal_power,low_respect,roughly_equal_power,roughly_equal_power,low_respect,low_respect
amadeus__conv_L30791__utt_L30791,amadeus,L30791,L30791,ORSINI-ROSENBERG,,,Are you absolutely sure?,,,unclear,unclear,neutral_respect,neutral_respect
amadeus__conv_L30791__utt_L30792,amadeus,L30791,L30792,SALIERI,ORSINI-ROSENBERG,1. ORSINI-ROSENBERG: Are you absolutely sure?,I've seen the manuscript.,roughly_equal_power,neutral_respect,roughly_equal_power,roughly_equal_power,neutral_respect,neutral_respect
amadeus__conv_L30791__utt_L30793,amadeus,L30791,L30793,ORSINI-ROSENBERG,SALIERI,"1. ORSINI-ROSENBERG: Are you absolutely sure?
2. SALIERI to ORSINI-ROSENBERG: I've seen the manuscript.",Where?,roughly_equal_power,neutral_respect,roughly_equal_power,roughly_equal_power,neutral_respect,neutral_respect
amadeus__conv_L30791__utt_L30794,amadeus,L30791,L30794,SALIERI,ORSINI-ROSENBERG,"1. ORSINI-ROSENBERG: Are you absolutely sure?
2. SALIERI to ORSINI-ROSENBERG: I've seen the manuscript.
3. ORSINI-ROSENBERG to SALIERI: Where?",Never mind.,roughly_equal_power,neutral_respect,roughly_equal_power,roughly_equal_power,neutral_respect,neutral_respect
amadeus__conv_L30795__utt_L30795,amadeus,L30795,L30795,VON STRACK,,,"I know we banned this play, but frankly I can't remember why. Can you refresh my memory, Herr Director?",,,listener_higher_power,speaker_higher_power,high_respect,high_respect
amadeus__conv_L30795__utt_L30796,amadeus,L30795,L30796,ORSINI-ROSENBERG,VON STRACK,"1. VON STRACK: I know we banned this play, but frankly I can't remember why. Can you refresh my memory, Herr Director?","For the same reason, Herr Chamberlain, that it was banned in France.",,,speaker_higher_power,roughly_equal_power,neutral_respect,high_respect
amadeus__conv_L30795__utt_L30797,amadeus,L30795,L30797,VON STRACK,ORSINI-ROSENBERG,"1. VON STRACK: I know we banned this play, but frankly I can't remember why. Can you refresh my memory, Herr Director?
2. ORSINI-ROSENBERG to VON STRACK: For the same reason, Herr Chamberlain, that it was banned in France.","Oh yes, yes. And that was?",roughly_equal_power,neutral_respect,roughly_equal_power,roughly_equal_power,neutral_respect,neutral_respect
amadeus__conv_L30795__utt_L30798,amadeus,L30795,L30798,ORSINI-ROSENBERG,VON STRACK,"1. VON STRACK: I know we banned this play, but frankly I can't remember why. Can you refresh my memory, Herr Director?
2. ORSINI-ROSENBERG to VON STRACK: For the same reason, Herr Chamberlain, that it was banned in France.
3. VON STRACK to ORSINI-ROSENBERG: Oh yes, yes. And that was?","Well, the play makes a hero out of a valet. He outwits his noble master and exposes him as a lecher. Do you see the implications? This would be, in a grander situation, as if a Chamberlain were to expose an Emperor.",,,speaker_higher_power,roughly_equal_power,neutral_respect,neutral_respect
amadeus__conv_L30795__utt_L30799,amadeus,L30795,L30799,VON STRACK,ORSINI-ROSENBERG,"1. VON STRACK: I know we banned this play, but frankly I can't remember why. Can you refresh my memory, Herr Director?
2. ORSINI-ROSENBERG to VON STRACK: For the same reason, Herr Chamberlain, that it was banned in France.
3. VON STRACK to ORSINI-ROSENBERG: Oh yes, yes. And that was?
4. ORSINI-ROSENBERG to VON STRACK: Well, the play makes a hero out of a valet. He outwits his noble master and exposes him as a lecher. Do you see the implications? This would be, in a grander situation, as if a Chamberlain were to expose an Emperor.",Ah.,roughly_equal_power,neutral_respect,roughly_equal_power,roughly_equal_power,neutral_respect,neutral_respect
amadeus__conv_L30802__utt_L30802,amadeus,L30802,L30802,JOSEPH,,,"Mozart, are you aware I have declared the French play of Figaro unsuitable for our theatre?",speaker_higher_power,neutral_respect,speaker_higher_power,speaker_higher_power,neutral_respect,neutral_respect
amadeus__conv_L30802__utt_L30803,amadeus,L30802,L30803,MOZART,JOSEPH,"1. JOSEPH: Mozart, are you aware I have declared the French play of Figaro unsuitable for our theatre?","Yes, Sire.",listener_higher_power,high_respect,listener_higher_power,listener_higher_power,high_respect,high_respect
amadeus__conv_L30802__utt_L30804,amadeus,L30802,L30804,JOSEPH,MOZART,"1. JOSEPH: Mozart, are you aware I have declared the French play of Figaro unsuitable for our theatre?
2. MOZART to JOSEPH: Yes, Sire.",Yet we hear you are making an opera from it. Is this true?,speaker_higher_power,neutral_respect,speaker_higher_power,speaker_higher_power,neutral_respect,neutral_respect
amadeus__conv_L30802__utt_L30805,amadeus,L30802,L30805,MOZART,JOSEPH,"1. JOSEPH: Mozart, are you aware I have declared the French play of Figaro unsuitable for our theatre?
2. MOZART to JOSEPH: Yes, Sire.
3. JOSEPH to MOZART: Yet we hear you are making an opera from it. Is this true?","Who told you this, Majesty?",listener_higher_power,high_respect,listener_higher_power,listener_higher_power,high_respect,high_respect
amadeus__conv_L30802__utt_L30806,amadeus,L30802,L30806,JOSEPH,MOZART,"1. JOSEPH: Mozart, are you aware I have declared the French play of Figaro unsuitable for our theatre?
2. MOZART to JOSEPH: Yes, Sire.
3. JOSEPH to MOZART: Yet we hear you are making an opera from it. Is this true?
4. MOZART to JOSEPH: Who told you this, Majesty?",It is not your place to ask questions. Is it true?,speaker_higher_power,low_respect,speaker_higher_power,speaker_higher_power,low_respect,low_respect
amadeus__conv_L30802__utt_L30807,amadeus,L30802,L30807,MOZART,JOSEPH,"1. JOSEPH: Mozart, are you aware I have declared the French play of Figaro unsuitable for our theatre?
2. MOZART to JOSEPH: Yes, Sire.
3. JOSEPH to MOZART: Yet we hear you are making an opera from it. Is this true?
4. MOZART to JOSEPH: Who told you this, Majesty?
5. JOSEPH to MOZART: It is not your place to ask questions. Is it true?","Well, yes, I admit it is.",,,listener_higher_power,listener_higher_power,high_respect,neutral_respect
amadeus__conv_L30802__utt_L30808,amadeus,L30802,L30808,JOSEPH,MOZART,"1. JOSEPH: Mozart, are you aware I have declared the French play of Figaro unsuitable for our theatre?
2. MOZART to JOSEPH: Yes, Sire.
3. JOSEPH to MOZART: Yet we hear you are making an opera from it. Is this true?
4. MOZART to JOSEPH: Who told you this, Majesty?
5. JOSEPH to MOZART: It is not your place to ask questions. Is it true?
6. MOZART to JOSEPH: Well, yes, I admit it is.",Would you tell me why?,,,speaker_higher_power,speaker_higher_power,high_respect,neutral_respect
